locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
208-001;Bamiyan Cliff including niches of the 38 meter Buddha, seated Buddhas, 55 meter Buddha and surrounding caves;Afghanistan;Афганистан;N34;34;50;49;E67;67;49;30.9;105 ha;225.25 ha;208;34.8469444;67.82525;afg
208-002;Kakrak Valley caves including the niche of the standing Buddha;Afghanistan;Афганистан;N34;34;48;59.6;E67;67;51;4.9;15 ha;33 ha;208;34.8165556;67.8513611;afg
208-003;Qoul-I Akram Caves in the Fuladi Valley;Afghanistan;Афганистан;N34;34;49;25.3;E67;67;47;53.7;6 ha;40.5 ha;208;34.8236944;67.79825;afg
208-004;Kalai Ghamai Caves in the Fuladi Valley;Afghanistan;Афганистан;N34;34;49;13.6;E67;67;47;14.5;5.5 ha;;208;34.8204444;67.7873611;afg
208-005;Shahr-i-Zuhak;Afghanistan;Афганистан;N34;34;49;34.4;E66;66;53;24.5;18 ha;13 ha;208;34.8262222;66.8901389;afg
208-006;Qallay Kaphari A;Afghanistan;Афганистан;N34;34;48;39.5;E66;66;50;36.7;0.0625 ha;17 ha;208;34.8109722;66.8435278;afg
208-007;Qallay Kaphari B;Afghanistan;Афганистан;N34;34;48;46.4;E66;66;51;0.1;0.064 ha;;208;34.8128889;66.8500278;afg
208-008;Shahr-i-Ghulghulah;Afghanistan;Афганистан;N34;34;49;57.6;E67;67;50;20.8;9.3 ha;13.2 ha;208;34.8326667;67.8391111;afg
569-001;Museum-City of Gjirokastra;Albania;Албания;N40;40;4;27;E20;20;8;27;67.8 ha;94.7 ha;569;40.0741667;20.1408333;alb
569bis-002;The Historic Center of Berat;Albania;Албания;N40;40;42;8;E19;19;56;49;58.9 ha;136.2 ha;569;40.7022222;19.9469444;alb
1133-001;Chornohora;Ukraine;Украина;N48;48;8;25;E24;24;23;35;2,476.8 ha;12,925 ha;1133;48.1402778;24.3930556;ukr
1133-002;Havešová Primeval Forest;Slovakia;Словакия;N49;49;0;35;E22;22;20;20;171.3 ha;63.99 ha;1133;49.0097222;22.3388889;svk
1133-003;Kuziy-Trybushany;Ukraine;Украина;N47;47;56;21;E24;24;8;26;1,369.6 ha;3,163.4 ha;1133;47.9391667;24.1405556;ukr
1133-004;Maramarosh;Ukraine;Украина;N47;47;56;12;E24;24;19;35;2,243.6 ha;6,230.4 ha;1133;47.9366667;24.3263889;ukr
1133-005;Rožok;Slovakia;Словакия;N48;48;58;30;E22;22;28;0;67.1 ha;41.4 ha;1133;48.975;22.4666667;svk
1133-006;Stužnica – Bukovské Vrchy;Slovakia;Словакия;N49;49;5;10;E22;22;32;10;2,950 ha;11,300 ha;1133;49.0861111;22.5361111;svk
1133-007;Stuzhytsia – Uzhok;Ukraine;Украина;N49;49;4;14;E22;22;3;1;2,532 ha;3,615 ha;1133;49.0705556;22.0502778;ukr
1133-008;Svydovets;Ukraine;Украина;N48;48;11;21;E24;24;13;37;3,030.5 ha;5,639.5 ha;1133;48.1891667;24.2269444;ukr
1133-009;Uholka – Shyrikyi Luh;Ukraine;Украина;N48;48;18;22;E23;23;41;46;11,860 ha;3,301 ha;1133;48.3061111;23.6961111;ukr
1133-010;Vihorlat;Slovakia;Словакия;N48;48;55;45;E22;22;11;23;2,578 ha;2,413 ha;1133;48.9291667;22.1897222;svk
1133bis-011;Jasmund;Germany;Германия;N54;54;32;53;E13;13;38;43;492.5 ha;2,510.5 ha;1133;54.5480556;13.6452778;deu
1133bis-012;Serrahn;Germany;Германия;N53;53;20;24;E13;13;11;52;268.1 ha;2,568 ha;1133;53.34;13.1977778;deu
1133bis-013;Grumsin;Germany;Германия;N52;52;59;11;E13;13;53;44;590.1 ha;274.3 ha;1133;52.9863889;13.8955556;deu
1133bis-014;Hainich;Germany;Германия;N51;51;4;43;E10;10;26;8;1,573.4 ha;4,085.4 ha;1133;51.0786111;10.4355556;deu
